method,seed,checkpoint,checkpoint_iteration,completed_episodes,mean_episode_length,Diagnostics/forward_cmd_success_rate,Diagnostics/lin_cmd_success_rate,Diagnostics/planar_position_error,Diagnostics/stop_cmd_success_rate,Diagnostics/yaw_cmd_signed_success_rate,Evaluation/action_saturation_rate,Evaluation/command_success,Evaluation/fixed_outer_reward,Evaluation/termination_rate
Outer-only PPO,211,ANONYMIZED_SELECTED_CHECKPOINT/model_1350.pt,1350,752,1086.9933510638298,0.3197494643370414,0.07939462826858895,3.727676074180959,0.6965328601380396,0.1374834339493989,0.4330286197115978,0.1639203559027778,1.5496217193206152,0.0007107204861111111
Outer-only PPO,3301,ANONYMIZED_SELECTED_CHECKPOINT/model_1350.pt,1350,697,1174.5308464849354,0.3293704468112749,0.06387768555678323,3.7611426961186547,0.694228999691291,0.14352586472717424,0.43097241303573053,0.14042534722222222,1.5334300812416606,0.0006564670138888889
Outer-only PPO,7907,ANONYMIZED_SELECTED_CHECKPOINT/model_1350.pt,1350,728,1115.9725274725274,0.3634455249267113,0.07842466042997936,3.8860750900136516,0.7107250248537296,0.15207635290377464,0.4322631031398972,0.15735243055555556,1.5401694220801194,0.0006976996527777778
YAW,211,ANONYMIZED_SELECTED_CHECKPOINT/model_1400.pt,1400,294,2810.329931972789,0.13572486151268498,0.06713883764563232,4.753590007308715,0.8487275357606511,0.32843669006394016,0.004384584891021303,0.1775173611111111,1.5704447748429244,0.00013237847222222223
YAW,3301,ANONYMIZED_SELECTED_CHECKPOINT/model_1400.pt,1400,293,2872.7576791808874,0.1368517018502785,0.06098682137736533,4.418429465046696,0.8553500897447682,0.342166284247198,0.004352394496074542,0.172158203125,1.5698366087343958,0.00013237847222222223
YAW,7907,ANONYMIZED_SELECTED_CHECKPOINT/model_1400.pt,1400,296,2834.945945945946,0.12647425659181963,0.06215980701161445,4.9431511787012115,0.8310527021582755,0.32792951874331466,0.004720413899146176,0.1519097222222222,1.5578326528436608,0.000126953125
Uniform,211,ANONYMIZED_SELECTED_CHECKPOINT/model_1400.pt,1400,309,2674.453074433657,0.09733187760045338,0.05684432542430133,4.948968769292502,0.8705553299064438,0.2837476099657619,0.08074436008102363,0.1836349826388889,1.572955633683337,0.00015516493055555555
Uniform,3301,ANONYMIZED_SELECTED_CHECKPOINT/model_1400.pt,1400,302,2712.6490066225165,0.10413209047866985,0.06610514705250453,4.953419892447871,0.8753739759036236,0.2941694377621429,0.08230215809799524,0.16678276909722223,1.5691258196036022,0.00013671875
Uniform,7907,ANONYMIZED_SELECTED_CHECKPOINT/model_1400.pt,1400,314,2646.480891719745,0.11434089930650468,0.061620755684562024,4.8546186184887,0.8845566129353312,0.30770796407014134,0.07751428911281336,0.17437825520833333,1.5693323261042436,0.00014973958333333332
Static,211,ANONYMIZED_SELECTED_CHECKPOINT/model_1350.pt,1350,312,2584.019230769231,0.30432189737239645,0.06959326610007945,4.719145318463497,0.8119861451598506,0.38919475976791645,0.11532190672691084,0.15907443576388888,1.5689358787735304,0.00016493055555555556
Static,3301,ANONYMIZED_SELECTED_CHECKPOINT/model_1350.pt,1350,320,2576.459375,0.2916726081450987,0.06458657968090847,4.479203840079976,0.8269765891952233,0.3963976258856969,0.11330747514652709,0.16538411458333332,1.5753991589115726,0.00017144097222222221
Static,7907,ANONYMIZED_SELECTED_CHECKPOINT/model_1350.pt,1350,302,2696.4503311258277,0.2781413931689329,0.06080538798033053,4.93382038921066,0.8223310333904292,0.41890615537917864,0.11479456293189691,0.16789279513888888,1.583886521955331,0.00013997395833333334
PPO-LIRPG,211,ANONYMIZED_SELECTED_CHECKPOINT/model_1499.pt,1499,459,1623.668845315904,0.26219420469262533,0.06416478490379328,4.548945227300154,0.16319378163355092,0.1471127124195401,0.28289208143949507,0.053939887152777775,1.468986064957248,0.00037434895833333336
PPO-LIRPG,3301,ANONYMIZED_SELECTED_CHECKPOINT/model_1499.pt,1499,540,1382.5185185185185,0.26767172102919884,0.0637819871872974,4.112178036676487,0.1649156832198302,0.14622611068628935,0.2834188828824295,0.05823025173611111,1.4868579747610622,0.00046223958333333333
PPO-LIRPG,7907,ANONYMIZED_SELECTED_CHECKPOINT/model_1499.pt,1499,468,1659.5064102564102,0.26159021493823575,0.06183931441162713,4.0068860068243355,0.16851514289983444,0.15467816779338237,0.283000769490997,0.05967013888888889,1.4795379401577844,0.00037977430555555556
ReLara-PPO,211,ANONYMIZED_SELECTED_CHECKPOINT/model_1300.pt,1300,997,811.2076228686058,0.1535871596189423,0.0694010211679981,4.064036579257679,0.5014863368765348,0.1256883764039311,0.3181087335783781,0.10920030381944444,1.4895941824714343,0.0009364149305555556
ReLara-PPO,3301,ANONYMIZED_SELECTED_CHECKPOINT/model_1300.pt,1300,1054,783.6878557874763,0.1480373053203544,0.06746845891207663,3.9627585923019795,0.5241592328700547,0.1277728204183384,0.3296887755021453,0.10642361111111111,1.4785461275610658,0.0009971788194444444
ReLara-PPO,7907,ANONYMIZED_SELECTED_CHECKPOINT/model_1300.pt,1300,802,994.2980049875312,0.13954054688595027,0.06223992059201312,4.016631288398316,0.5253828554114119,0.12162924936830273,0.3438802180822111,0.11288302951388889,1.4895250502228736,0.0007074652777777778
