method,seed,outer_auc,outer_reward_final100
Outer-only PPO,17,2130.564603447914,1.4814729630947112
Outer-only PPO,389,2117.9213565587997,1.4730997896194458
Outer-only PPO,2027,2078.2505736351013,1.4523120832443237
YAW,17,2205.1634891033173,1.5476725840568542
YAW,389,2233.5623569488525,1.5688650250434875
YAW,2027,2235.963277041912,1.571546721458435
Uniform,17,2157.321024775505,1.5343016290664673
Uniform,389,2213.7681290507317,1.5613261914253236
Uniform,2027,2245.3993052244186,1.560972092151642
Static,17,2245.868795990944,1.5652893841266633
Static,389,2227.476950645447,1.5299241328239441
Static,2027,2197.6502572894096,1.5525637423992158
PPO-LIRPG,17,2082.4365363121033,1.433398107290268
PPO-LIRPG,389,2089.8891494870186,1.4576362764835358
PPO-LIRPG,2027,1929.9489207863808,1.290367338657379
ReLara-PPO,73,2065.6494842767715,1.43573512673378
ReLara-PPO,941,2108.30917519331,1.3036284160614013
ReLara-PPO,5827,2085.1347455978394,1.4523831939697265
